date,airline,ch_code,flight_number,from,to,via_city,route,stop_count,arr_hour,arr_period,dep_hour,dep_period,duration_mins,price
2022-02-11,Air India,AI,9645,Delhi,Mumbai,,Delhi-Mumbai,1,13,Afternoon,15,Afternoon,1305,13086
2022-02-11,Indigo,6E,2193,Delhi,Mumbai,,Delhi-Mumbai,1,17,Evening,14,Afternoon,230,13279
2022-02-11,Indigo,6E,2168,Delhi,Mumbai,,Delhi-Mumbai,1,22,Night,18,Evening,265,13279
2022-02-11,Indigo,6E,152,Delhi,Mumbai,,Delhi-Mumbai,1,17,Evening,10,Morning,460,13279
2022-02-11,Indigo,6E,2193,Delhi,Mumbai,,Delhi-Mumbai,1,22,Night,14,Afternoon,500,13279
2022-02-11,Indigo,6E,369,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,21,Night,625,13279
2022-02-11,Vistara,UK,899,Delhi,Mumbai,,Delhi-Mumbai,1,14,Afternoon,14,Afternoon,1425,13673
2022-02-11,Air India,AI,764,Delhi,Mumbai,,Delhi-Mumbai,1,12,Afternoon,16,Afternoon,1170,13410
2022-02-11,Vistara,UK,747,Delhi,Mumbai,,Delhi-Mumbai,1,13,Afternoon,6,Morning,390,13935
2022-02-11,Vistara,UK,809,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,19,Evening,745,14040
2022-02-11,Vistara,UK,737,Delhi,Mumbai,,Delhi-Mumbai,1,13,Afternoon,15,Afternoon,1265,14040
2022-02-11,Vistara,UK,813,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,17,Evening,1600,14093
2022-02-11,Vistara,UK,817,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,16,Afternoon,1690,14093
2022-02-11,Vistara,UK,813,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,17,Evening,1695,14093
2022-02-11,Indigo,6E,2338,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,12,Afternoon,480,13767
2022-02-11,GO FIRST,G8,237,Delhi,Mumbai,,Delhi-Mumbai,1,22,Night,12,Afternoon,555,13932
2022-02-11,Vistara,UK,871,Delhi,Mumbai,,Delhi-Mumbai,1,14,Afternoon,20,Night,1075,14408
2022-02-11,Vistara,UK,871,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,20,Night,1585,14408
2022-02-11,Air India,AI,762,Delhi,Mumbai,,Delhi-Mumbai,1,12,Afternoon,20,Night,970,14250
2022-02-11,GO FIRST,G8,1404,Delhi,Mumbai,,Delhi-Mumbai,1,16,Afternoon,9,Morning,425,14539
2022-02-11,Vistara,UK,747,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,6,Morning,830,14985
2022-02-11,Air India,AI,512,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,15,Afternoon,455,14670
2022-02-11,Air India,AI,537,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,16,Afternoon,950,15195
2022-02-11,Vistara,UK,977,Delhi,Mumbai,,Delhi-Mumbai,0,21,Night,19,Evening,135,15720
2022-02-11,Vistara,UK,809,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,19,Evening,1465,15983
2022-02-11,Vistara,UK,809,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,19,Evening,1560,15983
2022-02-11,Indigo,6E,184,Delhi,Mumbai,,Delhi-Mumbai,1,13,Afternoon,9,Morning,250,15720
2022-02-11,SpiceJet,SG,3002,Delhi,Mumbai,,Delhi-Mumbai,1,12,Afternoon,7,Morning,255,15720
2022-02-11,Indigo,6E,2102,Delhi,Mumbai,,Delhi-Mumbai,1,12,Afternoon,7,Morning,305,15720
2022-02-11,Air India,AI,801,Delhi,Mumbai,,Delhi-Mumbai,1,22,Night,17,Evening,1760,16245
2022-02-11,Vistara,UK,637,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,17,Evening,265,16613
2022-02-11,Vistara,UK,747,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,6,Morning,1020,16665
2022-02-11,Vistara,UK,835,Delhi,Mumbai,,Delhi-Mumbai,1,22,Night,19,Evening,1600,16665
2022-02-11,Air India,AI,764,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,16,Afternoon,1630,16455
2022-02-11,Air India,AI,531,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,20,Night,1485,16665
2022-02-11,Vistara,UK,817,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,16,Afternoon,345,17348
2022-02-11,Vistara,UK,819,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,14,Afternoon,455,17348
2022-02-11,Vistara,UK,801,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,9,Morning,765,17348
2022-02-11,Vistara,UK,815,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,8,Morning,825,17348
2022-02-11,Vistara,UK,813,Delhi,Mumbai,,Delhi-Mumbai,1,11,Morning,17,Evening,1070,17348
2022-02-11,Vistara,UK,705,Delhi,Mumbai,,Delhi-Mumbai,1,13,Afternoon,7,Morning,330,17400
2022-02-11,Vistara,UK,707,Delhi,Mumbai,,Delhi-Mumbai,1,13,Afternoon,17,Evening,1170,17505
2022-02-11,Vistara,UK,737,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,15,Afternoon,455,17610
2022-02-11,Air India,AI,762,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,20,Night,1430,17295
2022-02-11,Vistara,UK,673,Delhi,Mumbai,,Delhi-Mumbai,1,18,Evening,13,Afternoon,300,17663
2022-02-11,Air India,AI,839,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,21,Night,1590,18030
2022-02-11,Vistara,UK,879,Delhi,Mumbai,,Delhi-Mumbai,1,14,Afternoon,17,Evening,1250,18398
2022-02-11,Vistara,UK,705,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,7,Morning,770,18450
2022-02-11,GO FIRST,G8,191,Delhi,Mumbai,,Delhi-Mumbai,1,18,Evening,9,Morning,535,18487
2022-02-11,Vistara,UK,819,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,14,Afternoon,360,18923
2022-02-11,Vistara,UK,801,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,9,Morning,670,18923
2022-02-11,Vistara,UK,815,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,8,Morning,730,18923
2022-02-11,Vistara,UK,809,Delhi,Mumbai,,Delhi-Mumbai,1,11,Morning,19,Evening,935,19238
2022-02-11,Vistara,UK,835,Delhi,Mumbai,,Delhi-Mumbai,1,11,Morning,19,Evening,945,19920
2022-02-11,Air India,AI,767,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,12,Afternoon,475,19710
2022-02-11,Air India,AI,401,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,6,Morning,795,19710
2022-02-11,Vistara,UK,705,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,7,Morning,960,20130
2022-02-11,Air India,AI,473,Delhi,Mumbai,,Delhi-Mumbai,1,17,Evening,18,Evening,1365,19815
2022-02-11,Vistara,UK,707,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,17,Evening,360,21075
2022-02-11,GO FIRST,G8,213,Delhi,Mumbai,,Delhi-Mumbai,1,18,Evening,11,Morning,380,21111
2022-02-11,Air India,AI,409,Delhi,Mumbai,,Delhi-Mumbai,1,17,Evening,10,Morning,435,23206
2022-02-11,Air India,AI,429,Delhi,Mumbai,Chennai,Delhi-Mumbai,1,15,Afternoon,9,Morning,1805,24540
2022-02-11,Air India,AI,401,Delhi,Mumbai,,Delhi-Mumbai,1,17,Evening,6,Morning,660,25800
2022-02-11,Vistara,UK,837,Delhi,Mumbai,,Delhi-Mumbai,1,11,Morning,17,Evening,1095,27270
2022-02-11,Air India,AI,877,Delhi,Mumbai,,Delhi-Mumbai,1,17,Evening,11,Morning,365,29580
2022-02-12,SpiceJet,SG,8803,Delhi,Mumbai,,Delhi-Mumbai,0,9,Morning,7,Morning,135,5953
2022-02-12,SpiceJet,SG,8169,Delhi,Mumbai,,Delhi-Mumbai,0,22,Night,19,Evening,140,5953
2022-02-12,Vistara,UK,927,Delhi,Mumbai,,Delhi-Mumbai,0,11,Morning,9,Morning,125,5955
2022-02-12,Vistara,UK,985,Delhi,Mumbai,,Delhi-Mumbai,0,22,Night,19,Evening,130,5955
2022-02-12,Vistara,UK,977,Delhi,Mumbai,,Delhi-Mumbai,0,21,Night,19,Evening,135,5955
2022-02-12,Vistara,UK,963,Delhi,Mumbai,,Delhi-Mumbai,0,11,Morning,8,Morning,140,5955
2022-02-12,Vistara,UK,955,Delhi,Mumbai,,Delhi-Mumbai,0,20,Night,17,Evening,140,5955
2022-02-12,Vistara,UK,953,Delhi,Mumbai,,Delhi-Mumbai,0,22,Night,20,Night,130,6060
2022-02-12,GO FIRST,G8,334,Delhi,Mumbai,,Delhi-Mumbai,0,10,Morning,8,Morning,130,5954
2022-02-12,GO FIRST,G8,336,Delhi,Mumbai,,Delhi-Mumbai,0,16,Afternoon,14,Afternoon,135,5954
2022-02-12,GO FIRST,G8,346,Delhi,Mumbai,,Delhi-Mumbai,0,21,Night,19,Evening,135,5954
2022-02-12,GO FIRST,G8,330,Delhi,Mumbai,,Delhi-Mumbai,0,23,Night,21,Night,135,5954
2022-02-12,GO FIRST,G8,338,Delhi,Mumbai,,Delhi-Mumbai,0,12,Afternoon,10,Morning,140,5954
2022-02-12,GO FIRST,G8,323,Delhi,Mumbai,,Delhi-Mumbai,0,21,Night,18,Evening,140,5954
2022-02-12,Indigo,6E,5001,Delhi,Mumbai,,Delhi-Mumbai,0,9,Morning,7,Morning,130,5955
2022-02-12,Indigo,6E,2046,Delhi,Mumbai,,Delhi-Mumbai,0,19,Evening,17,Evening,130,5955
2022-02-12,Indigo,6E,5041,Delhi,Mumbai,,Delhi-Mumbai,0,20,Night,18,Evening,130,5955
2022-02-12,Indigo,6E,218,Delhi,Mumbai,,Delhi-Mumbai,0,13,Afternoon,10,Morning,135,5955
2022-02-12,Indigo,6E,549,Delhi,Mumbai,,Delhi-Mumbai,0,16,Afternoon,14,Afternoon,135,5955
2022-02-12,Indigo,6E,6722,Delhi,Mumbai,,Delhi-Mumbai,0,23,Night,21,Night,135,5955
2022-02-12,SpiceJet,SG,8157,Delhi,Mumbai,,Delhi-Mumbai,0,8,Morning,6,Morning,140,5955
2022-02-12,Indigo,6E,6278,Delhi,Mumbai,,Delhi-Mumbai,0,11,Morning,8,Morning,140,5955
2022-02-12,Indigo,6E,5328,Delhi,Mumbai,,Delhi-Mumbai,0,12,Afternoon,9,Morning,150,5955
2022-02-12,AirAsia,I5,764,Delhi,Mumbai,,Delhi-Mumbai,0,6,Morning,4,Late_Night,130,5956
2022-02-12,Air India,AI,868,Delhi,Mumbai,,Delhi-Mumbai,0,20,Night,18,Evening,120,5955
2022-02-12,Air India,AI,887,Delhi,Mumbai,,Delhi-Mumbai,0,9,Morning,7,Morning,125,5955
2022-02-12,Air India,AI,665,Delhi,Mumbai,,Delhi-Mumbai,0,10,Morning,8,Morning,130,5955
2022-02-12,Air India,AI,805,Delhi,Mumbai,,Delhi-Mumbai,0,22,Night,20,Night,130,5955
2022-02-12,Air India,AI,624,Delhi,Mumbai,,Delhi-Mumbai,0,21,Night,19,Evening,135,5955
2022-02-12,AirAsia,I5,747,Delhi,Mumbai,,Delhi-Mumbai,1,7,Morning,19,Evening,735,5949
2022-02-12,AirAsia,I5,747,Delhi,Mumbai,,Delhi-Mumbai,1,11,Morning,19,Evening,980,5949
2022-02-12,GO FIRST,G8,188,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,8,Morning,740,5954
2022-02-12,GO FIRST,G8,103,Delhi,Mumbai,,Delhi-Mumbai,1,7,Morning,19,Evening,740,5954
2022-02-12,Air India,AI,636,Delhi,Mumbai,Indore,Delhi-Mumbai,1,18,Evening,14,Afternoon,210,5955
2022-02-12,Air India,AI,441,Delhi,Mumbai,IXU,Delhi-Mumbai,1,21,Night,17,Evening,225,5955
2022-02-12,Vistara,UK,995,Delhi,Mumbai,,Delhi-Mumbai,0,12,Afternoon,10,Morning,135,6375
2022-02-12,Vistara,UK,951,Delhi,Mumbai,,Delhi-Mumbai,0,16,Afternoon,14,Afternoon,130,7530
2022-02-12,Vistara,UK,933,Delhi,Mumbai,,Delhi-Mumbai,0,17,Evening,15,Afternoon,130,7530
2022-02-12,Vistara,UK,945,Delhi,Mumbai,,Delhi-Mumbai,0,14,Afternoon,11,Morning,140,7530
2022-02-12,AirAsia,I5,784,Delhi,Mumbai,,Delhi-Mumbai,1,7,Morning,16,Afternoon,910,7419
2022-02-12,Indigo,6E,6202,Delhi,Mumbai,,Delhi-Mumbai,0,14,Afternoon,12,Afternoon,130,7845
2022-02-12,Indigo,6E,2022,Delhi,Mumbai,,Delhi-Mumbai,1,16,Afternoon,6,Morning,615,8396
2022-02-12,SpiceJet,SG,2976,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,19,Evening,270,8869
2022-02-12,SpiceJet,SG,2976,Delhi,Mumbai,,Delhi-Mumbai,1,10,Morning,19,Evening,915,9183
2022-02-12,Air India,AI,469,Delhi,Mumbai,RPR,Delhi-Mumbai,1,12,Afternoon,5,Late_Night,435,9840
2022-02-12,Air India,AI,542,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,9,Morning,850,9840
2022-02-12,Air India,AI,560,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,8,Morning,945,9840
2022-02-12,Vistara,UK,683,Delhi,Mumbai,,Delhi-Mumbai,1,15,Afternoon,13,Afternoon,1535,10566
2022-02-12,Air India,AI,403,Delhi,Mumbai,,Delhi-Mumbai,1,19,Evening,12,Afternoon,380,10303
2022-02-12,Indigo,6E,2154,Delhi,Mumbai,,Delhi-Mumbai,1,14,Afternoon,10,Morning,245,10523
2022-02-12,Air India,AI,9843,Delhi,Mumbai,,Delhi-Mumbai,1,15,Afternoon,6,Morning,585,10523
2022-02-12,Vistara,UK,871,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,20,Night,1585,11048
2022-02-12,Indigo,6E,2168,Delhi,Mumbai,,Delhi-Mumbai,1,22,Night,18,Evening,265,10838
2022-02-12,Indigo,6E,2193,Delhi,Mumbai,,Delhi-Mumbai,1,22,Night,14,Afternoon,500,10838
2022-02-12,Indigo,6E,369,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,21,Night,625,10838
2022-02-12,Air India,AI,544,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,17,Evening,400,11100
2022-02-12,Indigo,6E,2338,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,12,Afternoon,480,11326
2022-02-12,Indigo,6E,282,Delhi,Mumbai,,Delhi-Mumbai,2,19,Evening,10,Morning,580,11678
2022-02-12,Vistara,UK,809,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,19,Evening,745,12150
2022-02-12,Vistara,UK,813,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,17,Evening,880,12150
2022-02-12,Vistara,UK,817,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,16,Afternoon,970,12150
2022-02-12,Vistara,UK,815,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,8,Morning,1450,12150
2022-02-12,Indigo,6E,2193,Delhi,Mumbai,,Delhi-Mumbai,1,17,Evening,14,Afternoon,230,11814
2022-02-12,Indigo,6E,152,Delhi,Mumbai,,Delhi-Mumbai,1,17,Evening,10,Morning,460,11814
2022-02-12,Air India,AI,453,Delhi,Mumbai,,Delhi-Mumbai,1,15,Afternoon,4,Late_Night,605,11900
2022-02-12,Vistara,UK,859,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,10,Morning,755,12308
2022-02-12,Vistara,UK,637,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,17,Evening,265,12570
2022-02-12,Vistara,UK,801,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,9,Morning,1390,12570
2022-02-12,Vistara,UK,829,Delhi,Mumbai,,Delhi-Mumbai,1,14,Afternoon,7,Morning,420,12623
2022-02-12,Vistara,UK,899,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,14,Afternoon,495,12623
2022-02-12,Vistara,UK,829,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,7,Morning,930,12623
2022-02-12,Air India,AI,9857,Delhi,Mumbai,,Delhi-Mumbai,1,13,Afternoon,6,Morning,435,12298
2022-02-12,Indigo,6E,607,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,22,Night,610,12302
2022-02-12,Air India,AI,504,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,21,Night,1410,12465
2022-02-12,Vistara,UK,819,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,14,Afternoon,1080,12990
2022-02-12,Air India,AI,885,Delhi,Mumbai,,Delhi-Mumbai,1,0,Late_Night,10,Morning,795,12675
2022-02-12,SpiceJet,SG,2277,Delhi,Mumbai,,Delhi-Mumbai,1,17,Evening,15,Afternoon,1545,12850
2022-02-12,Air India,AI,540,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,20,Night,685,12990
2022-02-12,Air India,AI,885,Delhi,Mumbai,,Delhi-Mumbai,1,22,Night,10,Morning,690,12990
2022-02-12,Air India,AI,762,Delhi,Mumbai,,Delhi-Mumbai,1,12,Afternoon,20,Night,970,12990
2022-02-12,Air India,AI,764,Delhi,Mumbai,,Delhi-Mumbai,1,12,Afternoon,16,Afternoon,1170,12990
2022-02-12,Air India,AI,885,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,10,Morning,1285,12990
2022-02-12,GO FIRST,G8,719,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,6,Morning,855,13069
2022-02-12,GO FIRST,G8,188,Delhi,Mumbai,,Delhi-Mumbai,1,15,Afternoon,8,Morning,465,13321
2022-02-12,Vistara,UK,879,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,17,Evening,320,13673
2022-02-12,Vistara,UK,737,Delhi,Mumbai,,Delhi-Mumbai,1,13,Afternoon,15,Afternoon,1265,13830
2022-02-12,Vistara,UK,817,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,16,Afternoon,345,14093
2022-02-12,Vistara,UK,815,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,8,Morning,730,14093
2022-02-12,Vistara,UK,815,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,8,Morning,825,14093
2022-02-12,Air India,AI,537,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,16,Afternoon,950,13830
2022-02-12,GO FIRST,G8,266,Delhi,Mumbai,,Delhi-Mumbai,1,18,Evening,6,Morning,705,14129
2022-02-12,Vistara,UK,801,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,9,Morning,670,14513
2022-02-12,Vistara,UK,801,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,9,Morning,765,14513
2022-02-12,Air India,AI,885,Delhi,Mumbai,,Delhi-Mumbai,1,16,Afternoon,10,Morning,340,14250
2022-02-12,GO FIRST,G8,119,Delhi,Mumbai,,Delhi-Mumbai,1,9,Morning,18,Evening,910,14409
2022-02-12,GO FIRST,G8,717,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,16,Afternoon,285,14487
2022-02-12,Vistara,UK,819,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,14,Afternoon,360,14933
2022-02-12,Vistara,UK,819,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,14,Afternoon,455,14933
2022-02-12,Vistara,UK,706,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,13,Afternoon,475,15038
2022-02-12,Vistara,UK,809,Delhi,Mumbai,,Delhi-Mumbai,1,11,Morning,19,Evening,935,15353
2022-02-12,Vistara,UK,813,Delhi,Mumbai,,Delhi-Mumbai,1,11,Morning,17,Evening,1070,15353
2022-02-12,Vistara,UK,817,Delhi,Mumbai,,Delhi-Mumbai,1,11,Morning,16,Afternoon,1160,15353
2022-02-12,Vistara,UK,809,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,19,Evening,1560,15353
2022-02-12,Vistara,UK,813,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,17,Evening,1695,15353
2022-02-12,GO FIRST,G8,1404,Delhi,Mumbai,,Delhi-Mumbai,1,16,Afternoon,9,Morning,425,15117
2022-02-12,Air India,AI,439,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,6,Morning,1560,15195
2022-02-12,Indigo,6E,2102,Delhi,Mumbai,,Delhi-Mumbai,1,12,Afternoon,7,Morning,305,15232
2022-02-12,Air India,AI,465,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,16,Afternoon,375,15510
2022-02-12,Indigo,6E,184,Delhi,Mumbai,,Delhi-Mumbai,1,13,Afternoon,9,Morning,250,15720
2022-02-12,SpiceJet,SG,3002,Delhi,Mumbai,,Delhi-Mumbai,1,12,Afternoon,7,Morning,255,15720
2022-02-12,Indigo,6E,5018,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,12,Afternoon,620,15720
2022-02-12,Air India,AI,401,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,6,Morning,795,16035
